"#","FORM #","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","LATITUDE","LONGITUDE","Who-1","Url-1","Technology-1","Language-1","Site description-1","Country-1","Start Date-1","End Date-1","FIRST NAME","LAST NAME","EMAIL","APPROVED","VERIFIED"
"3638","1","https://unicompng.crowdmap.com","2014-11-27 09:22:00","unknown","https://unicompng.crowdmap.com","uncategorised,Crowdmap,small","0","0","","","","","","","","","","","","YES","NO"
"3639","1","https://mombasawater.crowdmap.com","2014-11-27 09:22:00","Tanzania","https://mombasawater.crowdmap.com","uncategorised,Crowdmap,medium","-7","35","","","","","","","","","","","","YES","NO"
"3640","1","https://sicampin.crowdmap.com","2014-11-27 09:22:00","Bosnia and Herzegovina","https://sicampin.crowdmap.com","uncategorised,Crowdmap,small","0","0","","","","","","","","","","","","YES","NO"
"3641","1","https://nobcsmartmeters.crowdmap.com","2014-11-27 09:22:00","Canada","https://nobcsmartmeters.crowdmap.com","uncategorised,Crowdmap,small","60","-95","","","","","","","","","","","","YES","NO"
"3634","1","Traffic Condition in EDSA","2014-11-27 09:22:00","Philippines","https://trafficconditioninedsa.crowdmap.com","Traffic,Crowdmap,small","13","122","","https://trafficconditioninedsa.crowdmap.com","Crowdmap","English","","Philippines","","","","","","YES","NO"
"3635","1","https://temesvariesmagyar.crowdmap.com","2014-11-27 09:22:00","Romania","https://temesvariesmagyar.crowdmap.com","uncategorised,Crowdmap,small","46","25","","","","","","","","","","","","YES","NO"
"3636","1","http://tuftsmappingt2.crowdmap.com","2014-11-27 09:22:00","Dominican Republic","http://tuftsmappingt2.crowdmap.com","uncategorised,Crowdmap,medium","19","-70","","","","","","","","","","","","YES","NO"
"3637","1","https://refugeerights.crowdmap.com","2014-11-27 09:22:00","unknown","https://refugeerights.crowdmap.com","uncategorised,Crowdmap,small","0","0","","","","","","","","","","","","YES","NO"
"3632","1","https://delitosenlima.crowdmap.com","2014-11-27 09:22:00","Peru","https://delitosenlima.crowdmap.com","uncategorised,Crowdmap,small","-9.5","-75","","","","","","","","","","","","YES","NO"
"3633","1","http://www.tuntizen.com/university","2014-11-27 09:22:00","Turkmenistan","http://www.tuntizen.com/university","uncategorised,Ushahidi,small","40","59","","","","","","","","","","","","YES","NO"
"3628","1","https://winnipegmuralsnews.crowdmap.com","2014-11-27 09:22:00","Canada","https://winnipegmuralsnews.crowdmap.com","uncategorised,Crowdmap,small","60","-95","","","","","","","","","","","","YES","NO"
"3629","1","http://laquilaperledonne.org/ushaidi","2014-11-27 09:22:00","Italy","http://laquilaperledonne.org/ushaidi","uncategorised,Ushahidi,small","42.8333","12.8333","","","","","","","","","","","","YES","NO"
"3630","1","https://lawyers.crowdmap.com","2014-11-27 09:22:00","Kenya","https://lawyers.crowdmap.com","uncategorised,Crowdmap,small","1","38","","","","","","","","","","","","YES","NO"
"3631","1","http://berlinstreetart.org","2014-11-27 09:22:00","Germany","http://berlinstreetart.org","uncategorised,Ushahidi,small","51","9","","","","","","","","","","","","YES","NO"
"3625","1","https://osundemo.crowdmap.com","2014-11-27 09:22:00","Nigeria","https://osundemo.crowdmap.com","uncategorised,Crowdmap,medium","10","8","","","","","","","","","","","","YES","NO"
"3626","1","https://3gfail.crowdmap.com","2014-11-27 09:22:00","Brazil","https://3gfail.crowdmap.com","uncategorised,Crowdmap,small","-10","-51","","","","","","","","","","","","YES","NO"
"3627","1","http://www.infonet.md/apis","2014-11-27 09:22:00","Moldova, Republic of","http://www.infonet.md/apis","uncategorised,Ushahidi,small","47","29","","","","","","","","","","","","YES","NO"
"3621","1","http://hollabackdc.crowdmap.com","2014-11-27 09:22:00","United States","http://hollabackdc.crowdmap.com","uncategorised,Crowdmap,medium","38","-97","","","","","","","","","","","","YES","NO"
"3622","1","https://matissvaldmanis.crowdmap.com","2014-11-27 09:22:00","United States","https://matissvaldmanis.crowdmap.com","uncategorised,Crowdmap,small","38","-97","","","","","","","","","","","","YES","NO"
"3623","1","http://map.publicintelligenceproject.org","2014-11-27 09:22:00","Libyan Arab Jamahiriya","http://map.publicintelligenceproject.org","uncategorised,Ushahidi,medium","25","17","","","","","","","","","","","","YES","NO"
"3624","1","http://www.pilasconelvoto.com/2013","2014-11-27 09:22:00","Colombia","http://www.pilasconelvoto.com/2013","uncategorised,Ushahidi,large","4","-72","","","","","","","","","","","","YES","NO"
"3617","1","https://dignitystrike.crowdmap.com","2014-11-27 09:22:00","Syrian Arab Republic","https://dignitystrike.crowdmap.com","uncategorised,Crowdmap,medium","35","38","","","","","","","","","","","","YES","NO"
"3618","1","http://burgermap.org","2014-11-27 09:22:00","unknown","http://burgermap.org","uncategorised,Ushahidi,medium","0","0","","","","","","","","","","","","YES","NO"
"3619","1","http://actaverbum.crowdmap.com","2014-11-27 09:22:00","Spain","http://actaverbum.crowdmap.com","uncategorised,Crowdmap,medium","40","-4","","","","","","","","","","","","YES","NO"
"3620","1","http://staffordhurricane2012.crowdmap.com","2014-11-27 09:22:00","United States","http://staffordhurricane2012.crowdmap.com","uncategorised,Crowdmap,small","38","-97","","","","","","","","","","","","YES","NO"
"3613","1","https://geocommunication.crowdmap.com","2014-11-27 09:22:00","China","https://geocommunication.crowdmap.com","uncategorised,Crowdmap,small","35","105","","","","","","","","","","","","YES","NO"
