#,FORM #,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,Who-1,Url-1,Technology-1,Language-1,Site description-1,Country-1,Start Date-1,End Date-1,FIRST NAME,LAST NAME,EMAIL,APPROVED,VERIFIED
3638,1,https://unicompng.crowdmap.com,2014-11-27 09:22:00,unknown,https://unicompng.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3637,1,https://refugeerights.crowdmap.com,2014-11-27 09:22:00,unknown,https://refugeerights.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3618,1,http://burgermap.org,2014-11-27 09:22:00,unknown,http://burgermap.org,"uncategorised,Ushahidi,medium",0,0,,,,,,,,,,,,YES,NO
3612,1,https://mdgfive.crowdmap.com,2014-11-27 09:22:00,unknown,https://mdgfive.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3600,1,https://bicingbarcelona.crowdmap.com,2014-11-27 09:22:00,unknown,https://bicingbarcelona.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3587,1,https://burgermap.crowdmap.com,2014-11-27 09:22:00,unknown,https://burgermap.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3578,1,https://northafricamonitor.crowdmap.com,2014-11-27 09:22:00,unknown,https://northafricamonitor.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3575,1,https://resilientmiami.crowdmap.com,2014-11-27 09:22:00,unknown,https://resilientmiami.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3576,1,https://diplomap.crowdmap.com,2014-11-27 09:22:00,unknown,https://diplomap.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3565,1,http://papuaspot.crowdmap.com,2014-11-27 09:22:00,unknown,http://papuaspot.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3541,1,http://www.globalfloodsystem.com,2014-11-27 09:22:00,unknown,http://www.globalfloodsystem.com,"uncategorised,Ushahidi,very large",0,0,,,,,,,,,,,,YES,NO
3542,1,http://leeyount.crowdmap.com,2014-11-27 09:22:00,unknown,http://leeyount.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3537,1,https://opensourceecology.crowdmap.com,2014-11-27 09:22:00,unknown,https://opensourceecology.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3525,1,https://verden.crowdmap.com,2014-11-27 09:22:00,unknown,https://verden.crowdmap.com,"uncategorised,Crowdmap,very large",0,0,,,,,,,,,,,,YES,NO
3514,1,http://esoe.crowdmap.com,2014-11-27 09:22:00,unknown,http://esoe.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3511,1,http://events.makook.ca,2014-11-27 09:22:00,unknown,http://events.makook.ca,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3496,1,http://test.csogeta.com,2014-11-27 09:22:00,unknown,http://test.csogeta.com,"uncategorised,Ushahidi,small",0,0,,,,,,,,,,,,YES,NO
3497,1,https://suncommonsolar.crowdmap.com,2014-11-27 09:22:00,unknown,https://suncommonsolar.crowdmap.com,"uncategorised,Crowdmap,medium",0,0,,,,,,,,,,,,YES,NO
3494,1,https://hexayurt.crowdmap.com,2014-11-27 09:22:00,unknown,https://hexayurt.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3482,1,https://armstolenar.crowdmap.com,2014-11-27 09:21:00,unknown,https://armstolenar.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
3472,1,http://tuktam.crowdmap.com,2014-11-27 09:21:00,unknown,http://tuktam.crowdmap.com,"uncategorised,Crowdmap,small",0,0,,,,,,,,,,,,YES,NO
